area_name,relation_id,relation_name,found
"alaska",,not found,no
"albania",,not found,no
"albanian",,not found,no
"algeria",,not found,no
"algerian",,not found,no
"alhucemas islands",,not found,no
"american samoa",,not found,no
"amsterdam and saint paul islands",,not found,no
"andaman and nicobar",,not found,no
"angola",,not found,no
"angolan",,not found,no
"anguilla",,not found,no
"antigua and barbuda",,not found,no
"antiguan and barbudan",,not found,no
"are",3804400,"",yes
"are",5748123,"",yes
"are",7374343,"",yes
"are",10639156,"",yes
"are",10696345,"",yes
"are",10731945,"",yes
"are",11285925,"",yes
"are",14530729,"",yes
"are",14543307,"",yes
"argentina",6090144,"",yes
"argentina",7743573,"",yes
"argentinian",,not found,no
"aruba",13928429,"",yes
"aruba",14525879,"",yes
"aruba",14759561,"",yes
"ascension",,not found,no
"australia",2647638,"",yes
"australia",8653540,"",yes
"australian",,not found,no
"azerbaijan",,not found,no
"azerbaijani",,not found,no
"azores",,not found,no
"bahamas",,not found,no
"bahamian",,not found,no
"bahrain",,not found,no
"bahraini",,not found,no
"bajo nuevo bank",,not found,no
"bangladesh",,not found,no
"bangladeshi",,not found,no
"barbadian",,not found,no
"barbados",,not found,no
"bassas da india",,not found,no
"belgian",13960314,"",yes
"belgium",7645548,"",yes
"belize",,not found,no
"belizean",,not found,no
"benin",,not found,no
"beninese",,not found,no
"bermuda",,not found,no
"bissau-guinean",,not found,no
"bonaire",13928790,"",yes
"bosnia and herzegovina",,not found,no
"bosnian and herzegovinian",,not found,no
"brazil",5748043,"",yes
"brazil",5748044,"",yes
"brazilian",,not found,no
"british",,not found,no
"british virgin islands",,not found,no
"brunei",,not found,no
"bruneian",,not found,no
"bulgaria",,not found,no
"bulgarian",,not found,no
"cambodia",,not found,no
"cambodian",,not found,no
"cameroon",,not found,no
"cameroonian",,not found,no
"canada",,not found,no
"canadian",,not found,no
"canary islands",,not found,no
"cape verde",,not found,no
"cape verdean",,not found,no
"cayman islands",,not found,no
"ceuta",,not found,no
"chafarinas islands",,not found,no
"chagos archipelago",,not found,no
"chile",3969510,"",yes
"chile",5661754,"",yes
"chile",7743573,"",yes
"chilean",,not found,no
"china",,not found,no
"chinese",,not found,no
"christmas island",,not found,no
"clipperton island",,not found,no
"cocos islands",,not found,no
