eez_id,name,territory,sovereign,centroid_lat,centroid_lon
3293|"Belgian Exclusive Economic Zone"|"Belgium"|"Belgium"|51.463206|2.721323
5668|"Dutch Exclusive Economic Zone"|"Netherlands"|"Netherlands"|53.613349|4.186489
5669|"German Exclusive Economic Zone"|"Germany"|"Germany"|54.553819|8.396092
5670|"Albanian Exclusive Economic Zone"|"Albania"|"Albania"|40.927084|19.113001
5672|"Bulgarian Exclusive Economic Zone"|"Bulgaria"|"Bulgaria"|42.933956|29.201647
5673|"Croatian Exclusive Economic Zone"|"Croatia"|"Croatia"|43.436986|15.647792
5674|"Danish Exclusive Economic Zone"|"Denmark"|"Denmark"|56.150070|9.205293
5675|"Estonian Exclusive Economic Zone"|"Estonia"|"Estonia"|58.770120|23.002319
5676|"Finnish Exclusive Economic Zone"|"Finland"|"Finland"|61.754837|21.889186
5677|"French Exclusive Economic Zone"|"France"|"France"|46.070745|-1.961298
5678|"Georgian Exclusive Economic Zone"|"Georgia"|"Georgia"|42.446249|40.561742
5679|"Greek Exclusive Economic Zone"|"Greece"|"Greece"|36.507204|23.932153
5680|"Icelandic Exclusive Economic Zone"|"Iceland"|"Iceland"|64.698265|-18.448449
5681|"Irish Exclusive Economic Zone"|"Ireland"|"Ireland"|52.653042|-11.755442
5682|"Italian Exclusive Economic Zone"|"Italy"|"Italy"|39.652655|12.932341
5683|"Latvian Exclusive Economic Zone"|"Latvia"|"Latvia"|57.105083|21.352885
5684|"Lithuanian Exclusive Economic Zone"|"Lithuania"|"Lithuania"|55.756162|20.363071
5685|"Maltese Exclusive Economic Zone"|"Malta"|"Malta"|35.313554|15.111207
5686|"Norwegian Exclusive Economic Zone"|"Norway"|"Norway"|68.178464|14.001296
5687|"Polish Exclusive Economic Zone"|"Poland"|"Poland"|54.912295|17.260419
5688|"Portuguese Exclusive Economic Zone"|"Portugal"|"Portugal"|38.319214|-10.922838
5689|"Romanian Exclusive Economic Zone"|"Romania"|"Romania"|44.241093|30.078505
5690|"Russian Exclusive Economic Zone"|"Russia"|"Russia"|71.321853|93.470782
5691|"Montenegrin Exclusive Economic Zone"|"Montenegro"|"Montenegro"|41.870234|18.680147
5692|"Slovenian Exclusive Economic Zone"|"Slovenia"|"Slovenia"|45.562875|13.578962
5693|"Spanish Exclusive Economic Zone"|"Spain"|"Spain"|41.722013|-4.158012
5694|"Swedish Exclusive Economic Zone"|"Sweden"|"Sweden"|59.484603|18.114015
5695|"Overlapping claim Ukraine: Ukraine / Russia"|"Ukraine"|"Ukraine"|44.951917|33.634652
5696|"British Exclusive Economic Zone"|"United Kingdom"|"United Kingdom"|56.792472|-4.288451
5697|"Turkish Exclusive Economic Zone"|"Turkey"|"Turkey"|40.522244|33.220598
8308|"Australian Exclusive Economic Zone (Cocos Islands)"|"Cocos Islands"|"Australia"|-12.031462|96.854336
8309|"Australian Exclusive Economic Zone (Christmas Island)"|"Christmas Island"|"Australia"|-11.243581|105.365226
8310|"Australian Exclusive Economic Zone (Norfolk Island)"|"Norfolk Island"|"Australia"|-29.093136|167.928983
8311|"Australian Exclusive Economic Zone (Macquarie Island)"|"Macquarie Island"|"Australia"|-54.876299|158.652909
8312|"French Exclusive Economic Zone (New Caledonia)"|"New Caledonia"|"France"|-21.018706|163.203766
8313|"Vanuatuan Exclusive Economic Zone"|"Vanuatu"|"Vanuatu"|-16.585231|168.557429
8314|"Solomon Islands Exclusive Economic Zone"|"Solomon Islands"|"Solomon Islands"|-10.044652|163.685391
8315|"Palauan Exclusive Economic Zone"|"Palau"|"Palau"|6.443930|133.069498
8316|"Micronesian Exclusive Economic Zone"|"Micronesia"|"Micronesia"|6.768434|150.322482
8317|"Nauruan Exclusive Economic Zone"|"Nauru"|"Nauru"|-0.591131|166.123964
8318|"Marshallese Exclusive Economic Zone"|"Marshall Islands"|"Marshall Islands"|10.151361|167.485468
8319|"Overlapping claim Wake Island / Enenkio: United States / Marshall Islands"|"Wake Island / Enenkio"|"United States"|19.503262|166.530458
8321|"Overlapping claim Taiwan: Taiwan / China"|"Taiwan"|"Taiwan"|21.420757|118.714575
8322|"Philippine Exclusive Economic Zone"|"Philippines"|"Philippines"|12.267906|122.163787
8323|"Australian Exclusive Economic Zone"|"Australia"|"Australia"|-27.362265|138.084109
8324|"Papua New Guinean Exclusive Economic Zone"|"Papua New Guinea"|"Papua New Guinea"|-5.456634|150.719732
8325|"Fijian Exclusive Economic Zone"|"Fiji"|"Fiji"|-17.948471|93.677349
8326|"Tuvaluan Exclusive Economic Zone"|"Tuvalu"|"Tuvalu"|-7.812542|74.287853
8327|"South Korean Exclusive Economic Zone"|"South Korea"|"South Korea"|35.740714|127.577123
8328|"North Korean Exclusive Economic Zone"|"North Korea"|"North Korea"|39.827854|128.995349
8331|"Cambodian Exclusive Economic Zone"|"Cambodia"|"Cambodia"|10.225426|102.542280
8332|"Thailand Exclusive Economic Zone"|"Thailand"|"Thailand"|9.167288|99.628523
8333|"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)"|"Andaman and Nicobar"|"India"|9.977382|92.189667
8334|"Comoran Exclusive Economic Zone"|"Comores"|"Comores"|-11.423142|43.454228
8337|"Seychellois Exclusive Economic Zone"|"Seychelles"|"Seychelles"|-6.547776|52.468718
8338|"French Exclusive Economic Zone (Réunion)"|"Réunion"|"France"|-21.781970|54.713278
8339|"French Exclusive Economic Zone (Juan de Nova Island)"|"Juan de Nova Island"|"France"|-17.306633|42.094282
8340|"French Exclusive Economic Zone (Bassas da India)"|"Bassas da India"|"France"|-20.860543|39.425180
8341|"French Exclusive Economic Zone (Europa Island)"|"Europa Island"|"France"|-23.536818|40.109277
8343|"Mauritian Exclusive Economic Zone"|"Republic of Mauritius"|"Republic of Mauritius"|-16.810213|60.117203
8345|"Maldivian Exclusive Economic Zone"|"Maldives"|"Maldives"|2.463524|73.085451
8346|"Sri Lankan Exclusive Economic Zone"|"Sri Lanka"|"Sri Lanka"|6.546377|81.636074
8347|"Mozambican Exclusive Economic Zone"|"Mozambique"|"Mozambique"|-20.370615|37.957396
8348|"Madagascan Exclusive Economic Zone"|"Madagascar"|"Madagascar"|-20.913354|47.253953
8349|"Kenyan Exclusive Economic Zone"|"Kenya"|"Kenya"|-3.474639|41.937648
8350|"Somali Exclusive Economic Zone"|"Federal Republic of Somalia"|"Federal Republic of Somalia"|5.022262|48.492052
8351|"Eritrean Exclusive Economic Zone"|"Eritrea"|"Eritrea"|15.823459|40.592550
8352|"Djiboutian Exclusive Economic Zone"|"Djibouti"|"Djibouti"|11.997104|43.432963
8353|"Yemeni Exclusive Economic Zone"|"Yemen"|"Yemen"|12.889056|52.061610
8354|"Omani Exclusive Economic Zone"|"Oman"|"Oman"|18.949146|58.669981
8355|"Sudanese Exclusive Economic Zone"|"Sudan"|"Sudan"|19.747925|38.143670
8356|"Saudi Arabian Exclusive Economic Zone"|"Saudi Arabia"|"Saudi Arabia"|22.452765|40.483133
8357|"Kuwaiti Exclusive Economic Zone"|"Kuwait"|"Kuwait"|29.174799|48.619156
8358|"Bahraini Exclusive Economic Zone"|"Bahrain"|"Bahrain"|26.335396|50.705336
8359|"Pakistani Exclusive Economic Zone"|"Pakistan"|"Pakistan"|23.539495|64.711751
